" Reveal Point"," Reveal Point"
" due to action: "," due to action: "
" not found!<br>"," not found!<br>"
" seconds"," seconds"
" section page and push <b>Add Widget</b> button. Select <b>NWDthemes Slider Revolution</b> widget type, choose design package/theme and click <b>Continue</b>. Fill <b>Frontend Properties</b> form giving widget instance name, assign store views and sort order. Click <b>Add Layout Update</b> button and select pages and block you want to display widget on. Switch to <b>Widget Options</b> tab and select slider for this widget instance. Click <b>Save</b> to update widget options."," section page and push <b>Add Widget</b> button. Select <b>NWDthemes Slider Revolution</b> widget type, choose design package/theme and click <b>Continue</b>. Fill <b>Frontend Properties</b> form giving widget instance name, assign store views and sort order. Click <b>Add Layout Update</b> button and select pages and block you want to display widget on. Switch to <b>Widget Options</b> tab and select slider for this widget instance. Click <b>Save</b> to update widget options."
"# of slots/boxes the slide is divided into or divided by.","# of slots/boxes the slide is divided into or divided by."
"## Custom Animation ##","## Custom Animation ##"
#ID,#ID
"&laquo; Previous","&laquo; Previous"
(min:256M),(min:256M)
(min:32M),(min:32M)
"(only for internal usage):","(only for internal usage):"
"*Only Illustration, most changes are not visible.","*Only Illustration, most changes are not visible."
", enable the Typewriter",", enable the Typewriter"
", select the Add-ons tab",", select the Add-ons tab"
"- SAVED CUSTOM ANIMATIONS -","- SAVED CUSTOM ANIMATIONS -"
"- SPECIAL EFFECTS -","- SPECIAL EFFECTS -"
"- VERSION 4.0 ANIMATIONS -","- VERSION 4.0 ANIMATIONS -"
"- VERSION 5.0 ANIMATIONS -","- VERSION 5.0 ANIMATIONS -"
"-- Next Slide --","-- Next Slide --"
"-- No Slider Available --","-- No Slider Available --"
"-- Not Chosen --","-- Not Chosen --"
"-- Previous Slide --","-- Previous Slide --"
"-- Scroll Below Slider --","-- Scroll Below Slider --"
"-- Select a Layer Type --","-- Select a Layer Type --"
"-- Select a Slide --","-- Select a Slide --"
"-- Select a Slider --","-- Select a Slider --"
"-- wrong alias -- ","-- wrong alias -- "
"--- Static Layers ---","--- Static Layers ---"
"1st Slide","1st Slide"
"2 x 2 Black","2 x 2 Black"
"2 x 2 White","2 x 2 White"
"2D Rotation X Origin","2D Rotation X Origin"
"2D Rotation Y Origin","2D Rotation Y Origin"
"2D Rotation end deg.","2D Rotation end deg."
"2D Rotation start deg.","2D Rotation start deg."
"3 x 3 Black","3 x 3 Black"
"3 x 3 White","3 x 3 White"
3D,3D
"3D Background Disabled","3D Background Disabled"
"3D Crop Fix (z)","3D Crop Fix (z)"
"3D Depth Levels","3D Depth Levels"
"3D Parallax is Enabled via Slider Settings !","3D Parallax is Enabled via Slider Settings !"
"3D Path","3D Path"
"3D Settings","3D Settings"
"3D Shadow","3D Shadow"
"<a target=""_blank"" class=""rspb_darklink"" href=""http://allthefreestock.com/"">All The Freestock</a> under the License <a target=""_blank"" class=""rspb_darklink"" href=""https://creativecommons.org/publicdomain/zero/1.0/"">CC0 Creative Commons</a>","<a target=""_blank"" class=""rspb_darklink"" href=""http://allthefreestock.com/"">All The Freestock</a> under the License <a target=""_blank"" class=""rspb_darklink"" href=""https://creativecommons.org/publicdomain/zero/1.0/"">CC0 Creative Commons</a>"
"<a target=""_blank"" href=""https://revolution.themepunch.com/direct-customer-benefits/#addons"">Add-Ons</a> for Slider Revolution","<a target=""_blank"" href=""https://revolution.themepunch.com/direct-customer-benefits/#addons"">Add-Ons</a> for Slider Revolution"
"<a target=""_blank"" href=""https://revolution.themepunch.com/direct-customer-benefits/#liveupdates"">Update</a> to the latest version directly from your dashboard","<a target=""_blank"" href=""https://revolution.themepunch.com/direct-customer-benefits/#liveupdates"">Update</a> to the latest version directly from your dashboard"
"<a target=""_blank"" href=""https://revolution.themepunch.com/direct-customer-benefits/#objectlibrary"">Object Library</a> with tons of images ready to be used","<a target=""_blank"" href=""https://revolution.themepunch.com/direct-customer-benefits/#objectlibrary"">Object Library</a> with tons of images ready to be used"
"<a target=""_blank"" href=""https://revolution.themepunch.com/examples/"">Library</a> with tons of free premium slider templates","<a target=""_blank"" href=""https://revolution.themepunch.com/examples/"">Library</a> with tons of free premium slider templates"
"<a target=""_blank"" href=""https://themepunch.ticksy.com/submit/"">Support</a> ThemePunch ticket desk","<a target=""_blank"" href=""https://themepunch.ticksy.com/submit/"">Support</a> ThemePunch ticket desk"
"<b>Aborting Import...</b>","<b>Aborting Import...</b>"
"<b>Warning!!! </b>The jquery ui javascript include that is loaded by some of the plugins are custom made and not contain needed components like 'autocomplete' or 'draggable' function.
		Without those functions the editor may not work correctly. Please remove those custom jquery ui includes in order the editor will work correctly.","<b>Warning!!! </b>The jquery ui javascript include that is loaded by some of the plugins are custom made and not contain needed components like 'autocomplete' or 'draggable' function.
		Without those functions the editor may not work correctly. Please remove those custom jquery ui includes in order the editor will work correctly."
<br><br>,<br><br>
"<br>If not defined, the next bigger Layer Grid Size is the basic of Linear Responsive calculations.","<br>If not defined, the next bigger Layer Grid Size is the basic of Linear Responsive calculations."
"<div class=""import_failure"">Download/Install seems to have failed.</div><br>Please check your server <span class=""import_failure"">download speed</span> and  if the server can programatically connect to <span class=""import_failure"">http://templates.themepunch.com</span><br><br>","<div class=""import_failure"">Download/Install seems to have failed.</div><br>Please check your server <span class=""import_failure"">download speed</span> and  if the server can programatically connect to <span class=""import_failure"">http://templates.themepunch.com</span><br><br>"
"? This can\'t be undone!","? This can\'t be undone!"
"A link on the whole slide pic (use {{link}} or {{meta:somemegatag}} in template sliders to link to a post or some other meta)","A link on the whole slide pic (use {{link}} or {{meta:somemegatag}} in template sliders to link to a post or some other meta)"
"A new delay value for the Slide. If no delay defined per slide, the delay defined via Options (9000ms) will be used.","A new delay value for the Slide. If no delay defined per slide, the delay defined via Options (9000ms) will be used."
"A new version of Slider Revolution is available.","A new version of Slider Revolution is available."
"A variety of sizes and densities can be also downloaded from the <br> <a target=""_blank"" class=""rspb_darklink"" href=""https://github.com/google/material-design-icons"">git repository</a>, making it even easier for developers to customize, share,<br> and re-use outside of Slider Revolution.","A variety of sizes and densities can be also downloaded from the <br> <a target=""_blank"" class=""rspb_darklink"" href=""https://github.com/google/material-design-icons"">git repository</a>, making it even easier for developers to customize, share,<br> and re-use outside of Slider Revolution."
ABSOLUTE,ABSOLUTE
"ADD GROUP","ADD GROUP"
"ADD ROW","ADD ROW"
ALL,ALL
"ALL IMAGES","ALL IMAGES"
"AM Clouds/PM Sun","AM Clouds/PM Sun"
"AM Drizzle","AM Drizzle"
"AM Drizzle/Wind","AM Drizzle/Wind"
"AM Fog/PM Clouds","AM Fog/PM Clouds"
"AM Fog/PM Sun","AM Fog/PM Sun"
"AM Ice","AM Ice"
"AM Light Rain","AM Light Rain"
"AM Light Rain/Wind","AM Light Rain/Wind"
"AM Light Snow","AM Light Snow"
